Array Size, Num Operations (1), Num Operations (2)
0,0,0
100,4,2
200,9,4
300,15,6
400,22,9
500,27,10
600,31,12
700,38,14
800,44,15
900,50,17
1000,56,19
1100,62,22
1200,67,23
1300,75,25
1400,82,28
1500,89,29
1600,96,31
1700,102,34
1800,109,35
1900,118,37
2000,125,40
2100,132,42
2200,140,44
2300,147,45
2400,156,48
2500,163,50
2600,170,52
2700,179,53
2800,186,55
2900,192,58
3000,201,59
3100,207,62
3200,214,64
3300,222,66
3400,231,68
3500,239,70
3600,249,73
3700,257,75
3800,265,77
3900,274,79
4000,283,82
4100,290,85
4200,300,87
4300,307,89
4400,315,91
4500,324,93
4600,333,96
4700,341,99
4800,348,101
4900,357,104

