Array Size, Time(1), Time(2)
1000,0.0198243,0.0095803
1100,0.0373535,0.0185527
1200,0.0560686,0.0281271
1300,0.0780455,0.039473
1400,0.103926,0.0526156
1500,0.133327,0.0675781
1600,0.16801,0.0850225
1700,0.208628,0.105848
1800,0.250931,0.12764
1900,0.298277,0.151797
2000,0.350402,0.178444
2100,0.407924,0.207753
2200,0.470897,0.240018
2300,0.539492,0.275317
2400,0.614177,0.313494
2500,0.696887,0.355766
2600,0.785942,0.401321
2700,0.880522,0.450099
2800,0.982333,0.502273
2900,1.09151,0.558327
3000,1.21297,0.620789
3100,1.33817,0.684929
3200,1.47319,0.754754
3300,1.61469,0.827505
3400,1.76481,0.904436
3500,1.92447,0.985994
3600,2.09315,1.07257
3700,2.27059,1.1639
3800,2.45824,1.26003
3900,2.65565,1.3613
4000,2.86375,1.46799
4100,3.08214,1.58042
4200,3.31614,1.69965
4300,3.5566,1.82304
4400,3.80851,1.95197
4500,4.07317,2.08704
4600,4.34834,2.228
4700,4.63615,2.37544
4800,4.94071,2.52901
4900,5.25682,2.68913
5000,5.58379,2.85676
5100,5.92354,3.03131
5200,6.27597,3.21193
5300,6.64224,3.4
5400,7.02293,3.59448
5500,7.41765,3.80177
5600,7.82772,4.01346
5700,8.25786,4.23167
5800,8.69909,4.46056
5900,9.15697,4.69306

